CustomerKey,GeographyKey,CustomerAlternateKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress
11000,26,AW00011000,Jon,V,Yang,6/10/1971,M,M,jon24@adventure-works.com
11001,37,AW00011001,Eugene,L,Huang,10/05/1976,S,M,eugene10@adventure-works.com
11002,31,AW00011002,Ruben,,Torres,9/02/1971,M,M,ruben35@adventure-works.com
11003,11,AW00011003,Christy,,Zhu,14/08/1973,S,F,christy12@adventure-works.com
11004,19,AW00011004,Elizabeth,,Johnson,5/08/1979,S,F,elizabeth5@adventure-works.com
11005,22,AW00011005,Julio,,Ruiz,1/08/1976,S,M,julio1@adventure-works.com
11006,8,AW00011006,Janet,G,Alvarez,2/12/1976,S,F,janet9@adventure-works.com
11007,40,AW00011007,Marco,,Mehta,6/11/1969,M,M,marco14@adventure-works.com
11008,32,AW00011008,Rob,,Verhoff,4/07/1975,S,F,rob4@adventure-works.com
11009,25,AW00011009,Shannon,C,Carlson,29/09/1969,S,M,shannon38@adventure-works.com
11010,22,AW00011010,Jacquelyn,C,Suarez,5/08/1969,S,F,jacquelyn20@adventure-works.com
11011,22,AW00011011,Curtis,,Lu,3/05/1969,M,M,curtis9@adventure-works.com
11012,611,AW00011012,Lauren,M,Walker,14/01/1979,M,F,lauren41@adventure-works.com
11013,543,AW00011013,Ian,M,Jenkins,3/08/1979,M,M,ian47@adventure-works.com
11014,634,AW00011014,Sydney,,Bennett,6/11/1973,S,F,sydney23@adventure-works.com
11015,301,AW00011015,Chloe,,Young,26/08/1984,S,F,chloe23@adventure-works.com
11016,329,AW00011016,Wyatt,L,Hill,25/10/1984,M,M,wyatt32@adventure-works.com
11017,39,AW00011017,Shannon,,Wang,24/12/1949,S,F,shannon1@adventure-works.com
11018,32,AW00011018,Clarence,D,Rai,6/10/1955,S,M,clarence32@adventure-works.com
11019,52,AW00011019,Luke,L,Lal,4/09/1983,S,M,luke18@adventure-works.com
11020,53,AW00011020,Jordan,C,King,19/03/1984,S,M,jordan73@adventure-works.com
11021,536,AW00011021,Destiny,,Wilson,2/03/1984,S,F,destiny7@adventure-works.com
11022,609,AW00011022,Ethan,G,Zhang,10/04/1984,M,M,ethan20@adventure-works.com
11023,298,AW00011023,Seth,M,Edwards,9/04/1984,M,M,seth46@adventure-works.com
11024,311,AW00011024,Russell,,Xie,16/03/1984,M,M,russell7@adventure-works.com
11025,24,AW00011025,Alejandro,,Beck,22/06/1951,M,M,alejandro45@adventure-works.com
11026,4,AW00011026,Harold,,Sai,1/10/1951,S,M,harold3@adventure-works.com
11027,40,AW00011027,Jessie,R,Zhao,5/06/1952,M,M,jessie16@adventure-works.com
